104.Residential address,106.Occupation,202.Age,203.Gender,204.Religion,205. Education qualification for the participant,206.How many family members are there at home?,207.Total income (monthly),208.Place of birth,209. Poverty Status?,301.Are you aware of the term dental fluorosis?,302.Do you know that treatment is available for fluoride content in teeth?,303.Cause of fluoride appearance?,304.Have you ever received information about ill effects about excessive fluoride in water from relatives?,305.Have you received information about ill effects about excessive fluoride in water from dental surgeon?,306.Have you received information about ill effects about excessive fluoride in water from government?,307.Have you received information about ill effects about excessive fluoride in water from school teachers?,308.Have you heard fluoride can cause cancer?,309.Do you know that there are some health risks associated with fluoride?,310.Does fluoride damage your enamel layer of your teeth?,311.Does smoking cause dental fluorosis?,312. Will dental fluorosis happen in only one region or whole teeth?,313.Can dental fluorosis be treated by vigorous brushing?,314.Do you have foul smell inside mouth due to dental fluorosis?,401.Have you ever consulted any dentist regarding the appearance of your teeth?,402. Are you willing to get the treatment done for the appearance of your teeth?,403. Should Govt. step up defluoridation plan for the prevention of Dental fluorosis?,404. Should Govt. provide rebate in RO's for the prevention of Dental fluorosis?,405. Should Govt. make policy for the prevention of Dental fluorosis?,406. Should Govt. launch mass public health campaign for the prevention of Dental fluorosis?,407. Is the appearance of your teeth appealing?,408. Are you embarrassed by the appearance of your teeth?,409. Do you know how much has the appearance of your teeth worried you?,410. How much has the appearance of your teeth hindered you from smiling freely?,411. Does the appearance of your teeth prevent you from attending social gatherings?,412. When do you start to observe Dental fluorosis in your mouth?,501. What is the frequency of brushing your teeth?,502. What is the time spent in cleaning your teeth's?,503. What are the tools for cleaning your teeth?,504. Do you use tooth paste?,505. What is the frequency of soft drink intake?,506. What is the frequency of sweet food intake?,507. Do you use any fluoridated toothpaste?,508. What is the frequency for visiting the dentist?,509. What is the reason for not visiting the dentist?,510. What is the way to reduce Dental fluorosis?
Bedasasana,Farmer,59,Male,Hindu,Primary,4,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,No,Yes,Yes,No,No,No,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,21,Male,Hindu,Primary,4,20000,Study place area,Pucca,No,No,Water quality,Yes,No,Yes,Yes,No,No,No,No,One region,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Farmer,42,Female,Hindu,Primary,2,20000,Study place area,Pucca,No,No,Water quality,No,No,No,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,51,Female,Hindu,Secondary,2,20000,Study place area,Pucca,No,No,Poor oral hygiene,No,Yes,Yes,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Farmer,58,Male,Hindu,Secondary,2,20000,Study place area,Pucca,No,No,Poor oral hygiene,No,Yes,Yes,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Businessman,23,Male,Hindu,Secondary,6,20000,Study place area,Pucca,Yes,Yes,Water quality,No,Yes,No,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not at all,Not at all,Not at all,After drinking the water of the area,Once a day,More than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,Two-three times a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Farmer,40,Female,Hindu,Secondary,6,20000,Study place area,Pucca,No,No,Water quality,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After using fluoride toothpaste,Once a day,More than 2 minutes,Neem sticks,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,46,Female,Hindu,Secondary,6,20000,Study place area,Pucca,No,No,Poor oral hygiene,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After using fluoride toothpaste,Once a day,2 minutes,Neem sticks,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Businessman,43,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,No,No,Water quality,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,37,Female,Hindu,Primary,9,"20,000",Study place area,Pucca,No,No,Water quality,No,Yes,No,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Sometimes,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,30,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,No,Yes,No,No,No,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Little bit,Little bit,After drinking the water of the area,Twice a day,More than 2 minutes,Tooth brush with tooth paste,Yes,Never,Two-three times a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,19,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,No,No,Water quality,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Not at all,Not at all,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Businessman,34,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Water quality,No,Yes,No,Yes,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Not at all,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,Two-three times a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,30,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,No,No,Poor oral hygiene,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,30,Female,Hindu,Primary,2,20000,Study place area,Pucca,No,No,Poor oral hygiene,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After drinking the water of the area,Twice a day,More than 2 minutes,Neem sticks,Yes,Never,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Businessman,27,Male,Hindu,Primary,2,20000,Study place area,Pucca,Yes,No,Poor oral hygiene,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Not at all,After drinking the water of the area,Twice a day,2 minutes,Neem sticks,Yes,Never,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,58,Female,Hindu,Secondary,3,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,No,No,No,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Little bit,After drinking the water of the area,Twice a day,More than 2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,30,Female,Hindu,Secondary,3,20000,Study place area,Pucca,No,No,Water quality,No,Yes,No,No,No,No,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Not at all,Little bit,Others (specifiy),Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Businessman,30,Male,Hindu,Secondary,4,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,No,No,No,Yes,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,Never,Two-three times a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Student,24,Male,Hindu,Higher secondary,4,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,No,Yes,No,No,One region,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Not at all,Not at all,Not at all,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,Never,No,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Housewife,45,Female,Hindu,Primary,5,20000,Study place area,Pucca,No,No,Water quality,No,Yes,No,No,No,Yes,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Not at all,After drinking the water of the area,Once a day,2 minutes,Neem sticks,Yes,Never,Never,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Student,25,Female,Hindu,Higher secondary,5,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,No,Yes,No,Yes,No,No,One region,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not at all,Not at all,Not at all,After drinking the water of the area,Twice a day,2 minutes,Tooth brush with tooth paste,Yes,Never,Never,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Teacher,58,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,No,No,No,No,No,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Sometimes,Sometimes,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No-idea,Whenever needed,Going to dentist is not useful,Stop drinking fluoridated water
Bedasasana,Farmer,45,Male,Hindu,Primary,5,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,No,No,No,No,No,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not at all,Little bit,Not at all,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,Never,One time a day,No,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,33,Female,Hindu,Secondary,10,20000,Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Whole teeth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Sometimes,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,Two to three times per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Teacher,31,Female,Hindu,Secondary,10,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Whole teeth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Lots of time,After using fluoride toothpaste,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Farmer,31,Female,Hindu,Secondary,10,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,No,No,No,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Little bit,Little bit,Lots of time,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Housewife,46,Female,Hindu,Secondary,10,20000,Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After using fluoride toothpaste,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,37,Male,Hindu,Secondary,2,20000,Study place area,Kutcha,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,58,Female,Hindu,Secondary,3,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Sometimes,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No,Whenever needed,Not required yet,Stop using fluoridated toothpaste
Bedasasana,Housewife,33,Female,Hindu,Secondary,3,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One region,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Lots of time,Lots of time,Lots of time,After drinking the water of the area,Once a day,Less than 2 minutes,Neem sticks,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,28,Female,Hindu,Secondary,3,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,No,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,Never,Never,Yes,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Farmer,40,Male,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,No,No,Yes,No,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,33,Female,Hindu,Primary,2,20000,Nearby study place area,Pucca,Yes,No,Water quality,Yes,Yes,Yes,Yes,No,No,No,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,Two-three times a day,No-idea,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Farmer,46,Male,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Sometimes,After using fluoride toothpaste,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,41,Female,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Sometimes,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,46,Female,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,36,Female,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Businessman,32,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Little bit,Little bit,Little bit,After drinking the water of the area,Once a day,2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,No-idea,Whenever needed,Due to poor financial conditions,Stop using fluoridated toothpaste
Bedasasana,Farmer,46,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,34,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Whole teeth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,39,Female,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,26,Female,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Neem sticks,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,23,Female,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Neem sticks,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Labour,28,Male,Hindu,Secondary,2,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Neem sticks,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
